epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5004.62,1.42526,1.0232,0.99375,0.39739,0.29983,0.29379,0.16524,1.38538,1.00262,0.97256,0.005842,0.005842,0.005842
44,5093.26,1.42291,1.01867,0.99575,0.40204,0.30142,0.29256,0.16521,1.37673,0.99638,0.97093,0.005743,0.005743,0.005743
45,5183.11,1.43567,1.0245,0.99437,0.40095,0.30018,0.29383,0.16655,1.37753,0.99505,0.97003,0.005644,0.005644,0.005644
46,5273.17,1.42178,1.01857,0.99488,0.39984,0.30462,0.29768,0.16745,1.3782,0.99298,0.97233,0.005545,0.005545,0.005545
47,5362.63,1.41892,1.01578,0.99544,0.40218,0.29976,0.29487,0.1669,1.37046,0.99131,0.96992,0.005446,0.005446,0.005446
48,5451.6,1.42044,1.01689,0.99542,0.40212,0.29917,0.29616,0.16728,1.37674,0.98862,0.9703,0.005347,0.005347,0.005347
49,5547.13,1.41884,1.00938,0.99343,0.40734,0.29995,0.29969,0.16793,1.36985,0.98381,0.96894,0.005248,0.005248,0.005248
50,5636.89,1.42084,1.00986,0.99079,0.41892,0.31111,0.30575,0.17154,1.37102,0.98293,0.96752,0.005149,0.005149,0.005149
51,5726.19,1.41573,1.00131,0.99074,0.41097,0.3087,0.30224,0.17003,1.36422,0.9811,0.96666,0.00505,0.00505,0.00505
52,5815.73,1.40265,0.99639,0.99191,0.40539,0.30962,0.29911,0.16923,1.36242,0.97926,0.96562,0.004951,0.004951,0.004951
53,5904.53,1.40863,0.99694,0.98851,0.40799,0.30642,0.30202,0.16977,1.36506,0.9827,0.96719,0.004852,0.004852,0.004852
54,5993.98,1.41438,1.00385,0.99007,0.41887,0.30791,0.30219,0.17005,1.36238,0.98326,0.96708,0.004753,0.004753,0.004753
55,6082.42,1.40731,0.99719,0.98861,0.41319,0.30823,0.30257,0.17,1.35886,0.97831,0.9663,0.004654,0.004654,0.004654
56,6171.45,1.40385,0.99124,0.98911,0.4158,0.30725,0.30334,0.1709,1.36486,0.97432,0.96707,0.004555,0.004555,0.004555
57,6260.36,1.4048,0.98992,0.98893,0.41429,0.30828,0.30379,0.17155,1.35909,0.97701,0.96574,0.004456,0.004456,0.004456
58,6349.32,1.39484,0.98222,0.9871,0.40929,0.31233,0.30583,0.17311,1.35554,0.97106,0.96504,0.004357,0.004357,0.004357
59,6484.58,1.39297,0.98408,0.98776,0.41605,0.31289,0.30616,0.17335,1.35881,0.97367,0.96545,0.004258,0.004258,0.004258
60,6575.5,1.39469,0.97883,0.98668,0.41503,0.30797,0.30624,0.17275,1.35472,0.96927,0.96397,0.004159,0.004159,0.004159
61,6665.27,1.39347,0.97866,0.98457,0.41776,0.31457,0.30866,0.17435,1.35085,0.97224,0.9627,0.00406,0.00406,0.00406
62,6754.4,1.38805,0.97732,0.98383,0.41523,0.31402,0.30863,0.17378,1.34981,0.96695,0.96232,0.003961,0.003961,0.003961
63,6843.07,1.39031,0.97633,0.98223,0.42035,0.31414,0.30915,0.17444,1.35151,0.96534,0.96321,0.003862,0.003862,0.003862
64,6932.19,1.3985,0.97952,0.98435,0.41633,0.31721,0.31037,0.17483,1.35047,0.96406,0.96249,0.003763,0.003763,0.003763
65,7021.48,1.38666,0.97518,0.98167,0.41742,0.31495,0.30784,0.17338,1.34761,0.96634,0.96227,0.003664,0.003664,0.003664
66,7141.6,1.39082,0.97348,0.9827,0.42006,0.31324,0.30957,0.17563,1.34809,0.96386,0.96249,0.003565,0.003565,0.003565
67,7230.84,1.38353,0.96925,0.98362,0.41213,0.31653,0.30847,0.17557,1.34439,0.96176,0.96142,0.003466,0.003466,0.003466
68,7320.78,1.37873,0.96171,0.98071,0.41902,0.3108,0.30921,0.17519,1.34504,0.96485,0.96085,0.003367,0.003367,0.003367
69,7409.56,1.37877,0.96023,0.98044,0.42057,0.31462,0.31154,0.1768,1.34256,0.96006,0.95993,0.003268,0.003268,0.003268
70,7498.99,1.37249,0.95519,0.97884,0.42162,0.31513,0.31326,0.17766,1.34045,0.95788,0.9593,0.003169,0.003169,0.003169
71,7588.7,1.37481,0.95497,0.97711,0.42125,0.31637,0.31434,0.17891,1.34358,0.95477,0.95978,0.00307,0.00307,0.00307
72,7678.2,1.36538,0.95176,0.979,0.41784,0.31759,0.31287,0.17721,1.3399,0.95809,0.95915,0.002971,0.002971,0.002971
73,7767.04,1.36879,0.95191,0.97725,0.41648,0.31868,0.31222,0.17655,1.33887,0.95925,0.95775,0.002872,0.002872,0.002872
74,7856.5,1.37457,0.95163,0.97722,0.42732,0.31537,0.31428,0.17777,1.33809,0.95668,0.95889,0.002773,0.002773,0.002773
75,7945.32,1.36372,0.94778,0.97372,0.42665,0.31651,0.31406,0.1775,1.33742,0.95556,0.95888,0.002674,0.002674,0.002674
76,8092.93,1.36824,0.94527,0.9758,0.42893,0.31731,0.31591,0.17888,1.3346,0.95597,0.95846,0.002575,0.002575,0.002575
77,8181.9,1.36063,0.9409,0.97525,0.41901,0.32605,0.31542,0.179,1.33703,0.95402,0.95923,0.002476,0.002476,0.002476
78,8271.27,1.36238,0.94452,0.9756,0.41654,0.3238,0.31631,0.17865,1.33824,0.9543,0.95871,0.002377,0.002377,0.002377
79,8359.99,1.35972,0.93301,0.97645,0.42247,0.32475,0.3151,0.17787,1.33731,0.95443,0.95911,0.002278,0.002278,0.002278
80,8449.61,1.35185,0.93263,0.97277,0.4172,0.32261,0.31379,0.17761,1.33693,0.95543,0.95856,0.002179,0.002179,0.002179
81,8538.58,1.35713,0.938,0.97534,0.4193,0.32346,0.31582,0.17881,1.33441,0.95443,0.95816,0.00208,0.00208,0.00208
82,8626.91,1.34999,0.9303,0.97105,0.4204,0.32777,0.3167,0.17968,1.33509,0.95071,0.95798,0.001981,0.001981,0.001981
83,8718.53,1.35322,0.92724,0.9714,0.41926,0.32226,0.31553,0.17857,1.33638,0.95072,0.95777,0.001882,0.001882,0.001882
84,8807.48,1.34981,0.93139,0.97186,0.42274,0.32228,0.31636,0.17876,1.3365,0.95037,0.95802,0.001783,0.001783,0.001783
85,8896.94,1.35023,0.92498,0.9719,0.42066,0.32279,0.31663,0.18013,1.33536,0.95164,0.9581,0.001684,0.001684,0.001684
86,8986.21,1.34242,0.92594,0.97211,0.42287,0.32331,0.317,0.18,1.3336,0.95155,0.95781,0.001585,0.001585,0.001585
87,9075.11,1.34316,0.92328,0.9729,0.42132,0.32242,0.31729,0.18031,1.33441,0.95136,0.95779,0.001486,0.001486,0.001486
88,9163.77,1.33718,0.91686,0.96889,0.42304,0.32285,0.31764,0.18044,1.3331,0.9503,0.95718,0.001387,0.001387,0.001387
89,9252.72,1.35282,0.92414,0.97117,0.42693,0.32429,0.31759,0.18065,1.33207,0.95029,0.95746,0.001288,0.001288,0.001288
90,9341.59,1.34111,0.91803,0.97069,0.42842,0.32565,0.3178,0.18022,1.33211,0.95054,0.9578,0.001189,0.001189,0.001189
91,9474.86,1.31724,0.89882,0.9757,0.42781,0.32513,0.31592,0.17928,1.33486,0.9504,0.95856,0.00109,0.00109,0.00109
92,9557.41,1.30397,0.88152,0.97179,0.42978,0.32328,0.31494,0.17911,1.33382,0.95092,0.9585,0.000991,0.000991,0.000991
93,9641.04,1.30176,0.88098,0.97233,0.42509,0.32565,0.31619,0.17948,1.33396,0.95128,0.95873,0.000892,0.000892,0.000892
94,9723.44,1.29989,0.87544,0.97306,0.42466,0.3268,0.31671,0.17974,1.33357,0.95167,0.95899,0.000793,0.000793,0.000793
95,9806.08,1.29673,0.87005,0.96925,0.4258,0.32165,0.31555,0.17976,1.33225,0.94922,0.95849,0.000694,0.000694,0.000694
96,9890.05,1.29053,0.86666,0.96686,0.43002,0.31942,0.31627,0.17952,1.33202,0.94921,0.95851,0.000595,0.000595,0.000595
97,10313.1,1.2901,0.86258,0.9675,0.42937,0.31964,0.31684,0.18002,1.33171,0.94962,0.95806,0.000496,0.000496,0.000496
98,10396.6,1.28736,0.85965,0.96648,0.43397,0.31817,0.31687,0.17988,1.33201,0.94882,0.95803,0.000397,0.000397,0.000397
99,10511.2,1.28442,0.85967,0.96357,0.43426,0.31811,0.31752,0.18031,1.33154,0.94811,0.95797,0.000298,0.000298,0.000298
100,10594.4,1.28443,0.85546,0.965,0.43372,0.31674,0.31665,0.17984,1.33227,0.9491,0.95828,0.000199,0.000199,0.000199
