epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4979.03,1.40049,1.0174,0.92102,0.4195,0.3151,0.31294,0.18073,1.37189,1.01276,0.91457,0.005842,0.005842,0.005842
44,5063.9,1.39501,1.00975,0.92118,0.43083,0.31586,0.31617,0.18201,1.364,1.00336,0.91395,0.005743,0.005743,0.005743
45,5149.86,1.40829,1.01684,0.92148,0.43521,0.31343,0.31624,0.18339,1.36201,1.00594,0.91391,0.005644,0.005644,0.005644
46,5235.86,1.39564,1.00942,0.92104,0.4334,0.31938,0.31872,0.18405,1.36138,1.00216,0.91344,0.005545,0.005545,0.005545
47,5321.71,1.39168,1.00996,0.92115,0.43153,0.31822,0.31876,0.18522,1.35673,1.00387,0.91241,0.005446,0.005446,0.005446
48,5407.41,1.39177,1.00995,0.92108,0.41335,0.31418,0.31245,0.18164,1.36525,1.00069,0.91391,0.005347,0.005347,0.005347
49,5498,1.3926,1.00069,0.92062,0.43331,0.32059,0.3173,0.18342,1.35797,0.99621,0.91369,0.005248,0.005248,0.005248
50,5650.4,1.39567,1.00234,0.91924,0.43901,0.32055,0.32273,0.1861,1.35905,0.9961,0.91338,0.005149,0.005149,0.005149
51,5735.7,1.38974,0.99556,0.91873,0.43324,0.32096,0.32057,0.186,1.35948,0.9948,0.91158,0.00505,0.00505,0.00505
52,5821.36,1.37674,0.98995,0.91911,0.43326,0.32493,0.32104,0.18694,1.35411,0.99076,0.91219,0.004951,0.004951,0.004951
53,5906.43,1.3829,0.99122,0.91728,0.42832,0.32222,0.31978,0.18497,1.35613,0.99233,0.91162,0.004852,0.004852,0.004852
54,5992.25,1.38953,0.99749,0.91832,0.41757,0.32953,0.32194,0.18637,1.34819,0.98966,0.90991,0.004753,0.004753,0.004753
55,6077.17,1.38227,0.98999,0.91677,0.42529,0.32833,0.32342,0.1872,1.34974,0.99223,0.91038,0.004654,0.004654,0.004654
56,6167.06,1.37832,0.98521,0.91712,0.4365,0.32747,0.32482,0.18791,1.35147,0.98618,0.91075,0.004555,0.004555,0.004555
57,6252.93,1.37719,0.98193,0.91645,0.44508,0.32285,0.32508,0.18869,1.34794,0.98532,0.90875,0.004456,0.004456,0.004456
58,6338.5,1.37222,0.976,0.91514,0.43704,0.32671,0.3276,0.19012,1.34677,0.98371,0.90825,0.004357,0.004357,0.004357
59,6470.61,1.3671,0.97841,0.91506,0.43438,0.32775,0.32841,0.18933,1.35174,0.98247,0.91038,0.004258,0.004258,0.004258
60,6557.53,1.36956,0.97217,0.91516,0.44355,0.32356,0.32565,0.18923,1.34703,0.98008,0.90823,0.004159,0.004159,0.004159
61,6644.27,1.36834,0.97069,0.91369,0.43352,0.32855,0.32658,0.19043,1.34568,0.98007,0.90905,0.00406,0.00406,0.00406
62,6729.88,1.36286,0.97146,0.91284,0.43002,0.3283,0.32636,0.19,1.3408,0.98232,0.90812,0.003961,0.003961,0.003961
63,6815.19,1.36587,0.96877,0.91174,0.44315,0.32613,0.32748,0.19079,1.3424,0.97472,0.90905,0.003862,0.003862,0.003862
64,6900.56,1.37375,0.97065,0.91312,0.42682,0.33227,0.32882,0.19078,1.34161,0.97439,0.90764,0.003763,0.003763,0.003763
65,6986.23,1.36245,0.96606,0.91223,0.44235,0.32379,0.32848,0.19117,1.34288,0.97532,0.90843,0.003664,0.003664,0.003664
66,7093.41,1.36615,0.96514,0.91175,0.43645,0.33221,0.32997,0.19262,1.34245,0.97274,0.90799,0.003565,0.003565,0.003565
67,7178.67,1.3602,0.96272,0.91253,0.4398,0.33043,0.32905,0.19158,1.33934,0.97215,0.90688,0.003466,0.003466,0.003466
68,7267.76,1.35552,0.95508,0.91086,0.43555,0.33251,0.33137,0.19267,1.33913,0.96731,0.90696,0.003367,0.003367,0.003367
69,7353.3,1.35489,0.95412,0.91036,0.44587,0.32812,0.33016,0.19244,1.33219,0.96895,0.90604,0.003268,0.003268,0.003268
70,7438.54,1.34792,0.94802,0.90931,0.44175,0.32671,0.32873,0.19183,1.33548,0.97017,0.90664,0.003169,0.003169,0.003169
71,7524.38,1.35157,0.94667,0.90823,0.43867,0.33684,0.33301,0.19407,1.33614,0.96589,0.90676,0.00307,0.00307,0.00307
72,7610.06,1.34153,0.94477,0.90955,0.442,0.33098,0.3303,0.19195,1.33433,0.96809,0.9056,0.002971,0.002971,0.002971
73,7695.1,1.34359,0.94338,0.90813,0.43773,0.33291,0.33121,0.1922,1.33732,0.96835,0.9065,0.002872,0.002872,0.002872
74,7780.77,1.35209,0.94507,0.90887,0.42969,0.33611,0.33021,0.19311,1.335,0.96754,0.90643,0.002773,0.002773,0.002773
75,7865.91,1.34035,0.9408,0.90588,0.43831,0.33203,0.33157,0.19278,1.3341,0.96594,0.90583,0.002674,0.002674,0.002674
76,8013.36,1.34371,0.93685,0.90682,0.43994,0.33018,0.33092,0.19313,1.33198,0.96467,0.90595,0.002575,0.002575,0.002575
77,8098,1.335,0.93195,0.90659,0.43891,0.33667,0.33304,0.19446,1.33214,0.9649,0.9058,0.002476,0.002476,0.002476
78,8183.33,1.33748,0.93612,0.90632,0.43833,0.33674,0.33408,0.19488,1.33168,0.96436,0.90542,0.002377,0.002377,0.002377
79,8268.73,1.33532,0.92586,0.90707,0.43727,0.33393,0.33337,0.1946,1.33233,0.96253,0.90601,0.002278,0.002278,0.002278
80,8354.48,1.32889,0.92483,0.90485,0.44054,0.33241,0.33238,0.19434,1.3307,0.96299,0.90514,0.002179,0.002179,0.002179
81,8439.78,1.33351,0.92995,0.9067,0.43989,0.33235,0.33244,0.19413,1.33085,0.96356,0.90496,0.00208,0.00208,0.00208
82,8524.58,1.32545,0.92374,0.90345,0.44306,0.33612,0.3349,0.19544,1.32983,0.96146,0.905,0.001981,0.001981,0.001981
83,8612.1,1.32949,0.92033,0.90409,0.4383,0.33718,0.33519,0.19583,1.33312,0.96183,0.90622,0.001882,0.001882,0.001882
84,8705.59,1.32597,0.92339,0.9045,0.44325,0.33373,0.33598,0.19594,1.33099,0.96113,0.90549,0.001783,0.001783,0.001783
85,8792.05,1.32615,0.91619,0.90391,0.4471,0.33354,0.33551,0.19563,1.33157,0.96116,0.90548,0.001684,0.001684,0.001684
86,8877.02,1.31808,0.91476,0.90443,0.44479,0.33501,0.33635,0.19649,1.32937,0.96098,0.90451,0.001585,0.001585,0.001585
87,8962.22,1.31861,0.91237,0.90401,0.44283,0.33588,0.33614,0.19611,1.32914,0.95898,0.90464,0.001486,0.001486,0.001486
88,9047.37,1.31275,0.90802,0.90212,0.45552,0.33436,0.33732,0.19639,1.32905,0.95759,0.90477,0.001387,0.001387,0.001387
