epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17620.5,1.5419,1.2218,1.22161,0.44472,0.34256,0.34139,0.19582,1.48708,1.1676,1.19917,0.005842,0.005842,0.005842
44,17885.7,1.54732,1.22522,1.21382,0.43824,0.34375,0.34585,0.19873,1.48776,1.16737,1.19558,0.005743,0.005743,0.005743
45,18104.9,1.55157,1.22601,1.21309,0.4511,0.34725,0.34704,0.19914,1.48686,1.16883,1.1917,0.005644,0.005644,0.005644
46,18341,1.55029,1.2237,1.20709,0.45592,0.34847,0.34832,0.20028,1.48807,1.16791,1.18757,0.005545,0.005545,0.005545
47,20399.2,1.55719,1.22705,1.20849,0.45751,0.34722,0.34942,0.20141,1.4905,1.17067,1.18469,0.005446,0.005446,0.005446
48,20645.8,1.55548,1.23016,1.20504,0.45523,0.34345,0.35001,0.20091,1.48342,1.17134,1.18153,0.005347,0.005347,0.005347
49,22320.3,1.54904,1.22502,1.20129,0.45712,0.34094,0.34855,0.20119,1.48661,1.17088,1.18059,0.005248,0.005248,0.005248
50,22767.5,1.54433,1.21889,1.20205,0.44795,0.34877,0.3507,0.20264,1.48486,1.16447,1.17874,0.005149,0.005149,0.005149
51,22998.9,1.53948,1.2132,1.19724,0.43876,0.34979,0.34993,0.20292,1.48317,1.16581,1.1764,0.00505,0.00505,0.00505
52,24349.7,1.53737,1.20814,1.19262,0.46075,0.34955,0.35137,0.20251,1.47973,1.15814,1.17522,0.004951,0.004951,0.004951
53,24554.8,1.5384,1.20236,1.1935,0.46696,0.34651,0.35549,0.20407,1.4785,1.15524,1.17411,0.004852,0.004852,0.004852
54,24768.9,1.53909,1.21055,1.19137,0.46645,0.35093,0.35616,0.20605,1.47807,1.15881,1.17081,0.004753,0.004753,0.004753
55,24983.2,1.531,1.20394,1.18977,0.45085,0.35431,0.35464,0.20668,1.47569,1.15801,1.1709,0.004654,0.004654,0.004654
56,25192.3,1.52744,1.20109,1.18884,0.46018,0.35449,0.35694,0.20734,1.47451,1.15193,1.16962,0.004555,0.004555,0.004555
57,26144.3,1.53876,1.20573,1.19121,0.46012,0.35178,0.3545,0.2058,1.47581,1.15184,1.1705,0.004456,0.004456,0.004456
58,26374.6,1.52882,1.19752,1.18737,0.45525,0.35679,0.36018,0.20917,1.47523,1.14853,1.16958,0.004357,0.004357,0.004357
59,27354.3,1.52672,1.19293,1.18408,0.46507,0.34855,0.35724,0.2075,1.46961,1.15033,1.16488,0.004258,0.004258,0.004258
60,27641.4,1.52129,1.1875,1.18477,0.4624,0.35549,0.36118,0.20939,1.46772,1.14468,1.16553,0.004159,0.004159,0.004159
